351	31832	31458	35398	34042	26597	28746
354	32334	31938	35917	34582	27361	29486
357	32840	32538	36571	35490	27835	30162
360	33708	33387	37415	35984	28383	30368
363	33783	33725	37873	36736	28951	31119
366	34469	34616	38386	37138	29731	31422
369	34692	35310	38995	37804	30463	32462
372	35401	35996	39434	38156	31179	32757
375	35786	36451	40153	38999	31702	33627
378	36548	37112	40969	39397	32364	33965
381	36846	37637	41523	40239	32864	34721
384	37544	38316	42011	40446	33495	35329
387	38078	38890	42798	40975	33897	35756
390	38394	38953	43410	41426	34448	36382
393	39139	39822	43698	42147	34973	36907
396	39627	40073	44179	42550	35637	37352
399	39773	40736	44639	42863	36235	37648
402	40202	40818	45316	43106	36656	38189
404.8666667	40507	41696	45779	44101	37443	39250
407.8666667	41528	42740	46669	45024	38483	40100
410.8666667	42237	43513	47146	45578	39149	40963
413.8666667	43203	43883	47871	46310	39848	41693
416.8666667	43255	44521	48396	47135	40525	42285
419.8666667	43954	44840	48776	47172	40866	42752
422.8666667	44001	45347	49219	47775	41236	42854
425.8666667	44651	46064	49425	48290	41542	43704
428.8666667	45055	46560	49755	48614	42278	43883
431.8666667	45257	47058	49814	49083	42895	44589
434.8666667	45432	47080	50153	49346	42929	45189
437.8666667	45814	47463	50441	49862	43444	45398
440.8666667	46296	47483	50632	49882	44037	45661
443.8666667	46171	47838	50573	50169	44363	45768
446.8666667	46631	47963	51235	50110	44765	46410
449.8666667	46741	47996	50981	50498	44992	46773
452.8666667	46899	48540	51193	50089	45349	46302
455.8666667	48019	49424	51615	51428	46019	47822
458.8666667	49558	49936	52979	52248	46846	48794
461.8666667	49752	51116	53020	52870	47746	49523
464.8666667	50056	51588	53667	53491	47884	49665
467.8666667	50326	51717	53786	53766	48370	50291
470.8666667	50891	51915	53940	54175	48592	50320
473.8666667	50243	52538	54037	54173	49018	50045
476.8666667	50700	52538	54228	54037	48886	50276
479.8666667	51128	52350	53898	54296	49203	50678
482.8666667	50949	52690	53968	54258	49641	50338
485.8666667	50729	52733	53780	54205	49093	50242
488.8666667	50850	52609	53498	53497	49447	50220
491.8666667	50769	52763	53538	53990	49459	50363
494.8666667	51141	52960	53022	53589	49070	50745
497.8666667	50912	52471	52858	53516	49223	50862
500.8666667	51114	52608	52771	53554	49468	50693
503.8666667	50697	52443	52439	53025	49428	50517
506.8666667	50977	52458	52517	53265	48482	50069
509.8666667	52868	54197	54220	54832	50723	52250
512.8666667	54108	55529	55275	56439	52163	53586
515.8666667	54765	56013	56296	56625	52627	54086
518.8666667	54977	56245	56410	57090	52931	54749
521.8666667	55377	56876	56674	57247	53039	55257
524.8666667	55183	57132	56891	57553	53158	55199
527.8666667	55705	57106	57373	57763	53425	55573
530.8666667	55174	56931	56597	57689	53236	55292
533.8666667	55340	56457	56583	57677	53264	55549
536.8666667	54784	56466	56504	57290	52816	55713
539.8666667	54647	56046	56418	57043	52935	54979
542.8666667	54119	56300	56316	56272	52769	54977
545.8666667	54125	55671	56022	56397	52300	55119
548.8666667	53728	55670	55702	56466	52382	54949
551.8666667	53837	55781	55471	55488	52138	54895
554.8666667	53821	55721	55760	55447	52562	54450
557.8666667	55080	56014	55896	55555	52466	55668
560.8666667	54533	55259	55155	55364	51851	55088
563.8666667	54360	54962	54607	55092	51616	54971
566.8666667	53937	54222	54743	55014	51404	54241
569.8666667	53716	54581	54065	54269	51068	54187
572.8666667	53897	54512	54134	54365	50785	53799
575.8666667	55992	56277	49091	56206	52918	55343
578.8666667	56813	57087	49699	56583	53367	56151
581.8666667	57406	57448	50091	56621	53367	56855
584.8666667	56728	57191	50241	56561	53575	56573
587.8666667	56513	57221	49739	56561	53376	56714
590.8666667	56806	57377	49480	56287	53258	56107
593.8666667	56456	57273	49627	56020	52865	55367
596.8666667	56085	56842	50087	56239	52997	56231
599.8666667	55519	56410	49219	55503	52561	55806
602.8666667	54756	56017	49266	54675	52037	54603
605.8666667	55238	56178	49089	55063	51955	55360
608.8666667	54364	55300	49043	54405	51847	55124
611.8666667	54663	55672	48913	54368	51531	55430
614.8666667	54289	54634	48684	53645	50834	54145
617.8666667	53522	54323	47841	53408	50855	54321
620.8666667	55623	55711	49238	54464	51374	55684
623.8666667	56158	56639	49911	55528	52269	56771
626.8666667	56288	57687	50207	56449	53065	57498
629.8666667	57051	58292	50999	56998	53899	57712
632.8666667	57181	58589	51452	56735	53634	57916
635.8666667	57054	58253	51379	57005	53899	58018
638.8666667	56929	58153	51176	56911	53485	57784
641.8666667	56510	58104	51203	56790	53506	57708
644.8666667	56300	57491	51345	56522	52856	57523
647.8666667	55707	57266	50711	56063	52576	57121
650.8666667	55583	57100	50524	55325	52624	56373
653.8666667	55293	56878	50271	55295	51937	56192
656.8666667	55052	56131	49966	54941	51955	55781
659.8666667	54448	55670	49556	54569	51315	55984
662.8666667	55020	55705	50162	54390	51573	55322
665.8666667	54882	55305	49730	54230	51004	55978
668.8666667	54414	55380	49834	53928	50598	55296
671.8666667	54054	54145	49248	53353	50174	54280
674.8666667	53783	53670	49031	53190	50149	54666
677.8666667	53244	53595	48408	52699	49667	54132
680.8666667	52953	53368	48289	52185	49238	54046
683.8666667	52999	53254	47886	51786	49248	53413
686.8666667	52406	53205	47579	51177	49066	52653
689.8666667	51697	52548	47637	51085	48939	52370
692.8666667	51672	51880	46445	50472	48527	52937
695.8666667	50900	51838	46402	49643	48001	51795
698.8666667	50332	51589	46127	49435	47635	51400
701.8666667	52738	52694	46653	50525	49250	53465
704.8666667	54122	54358	47720	51831	49890	55227
707.8666667	55134	55172	48635	52437	50811	56109
710.8666667	55001	55211	48159	53013	51016	55892
713.8666667	55466	55341	48516	53238	50736	55852
716.8666667	54886	54742	48472	53030	50782	55382
719.8666667	54076	54389	48247	52060	50379	54538
722.8666667	53849	54246	47896	52042	50043	54557
725.8666667	53565	54283	47444	51751	49396	54581
728.8666667	52693	53701	46138	51105	49797	53592
731.8666667	52211	53204	46434	50216	48847	53436
734.8666667	51746	52844	46362	50006	48809	53065
737.8666667	52044	52972	45610	49707	47872	52552
740.8666667	51579	52639	45672	49251	47746	52840
743.8666667	51778	52247	46212	49132	47814	51343
746.8666667	50793	51482	45735	48350	47196	52074
